@relation protocol_detection
@attribute protocol-name {ssh,http,mysql,unknown}
@attribute src string
@attribute sport string
@attribute dst string
@attribute dport string
@attribute proto string
@attribute flags string
@attribute average_len numeric
@attribute pkt_count numeric
@attribute flow_average_inter_arrival_time numeric
@data
http,89.22.96.128,33519,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|A|A|A|PA|PA|A|A|A|A|A|PA|A|A|A|A|A|A|PA|A|FA|FA|A,622,29,0.0085
http,89.22.96.128,59444,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|A|PA|A|FA|FA|A,397,15,0.0358
http,66.249.78.36,60699,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|PA|A|A|A|FA|FA|A,362,16,0.0081
http,66.249.75.171,64034,89.22.96.128,80,6,S|SA|A|PA|A|A|A|PA|A|A|A|FA|FA|A,302,14,0.0091
http,5.135.179.227,38399,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|A|FPA|A|A|A|A|FA|A,557,21,0.0098
ssh,188.64.44.143,41734,188.64.44.131,22,6,S|A|A|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|FA|A,170,23,0.0059
http,66.249.78.36,45099,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|PA|A|A|A|FA|FA|A,344,16,0.014
http,91.232.96.14,38237,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|FA|A|FA|A,517,18,0.0477
ssh,188.64.44.143,41737,188.64.44.131,22,6,S|A|A|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|PA|A|PA|PA|FA|A,166,24,0.0052
http,89.22.96.128,54371,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|FA|FA|A,163,12,0.0023
http,89.22.96.128,34273,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|FA|A|FA|A,161,13,0.0026
http,66.249.78.36,38688,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|PA|A|A|A|FA|FA|A,332,16,0.0079
http,91.232.96.13,48105,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|FPA|A|A|A|A|FA|A,537,20,0.01
http,91.232.96.14,56082,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|FPA|A|A|FA|A,578,15,0.1203
http,188.64.46.222,80,188.64.46.173,48885,6,SA|A|A|PA|FA|A,500,6,0.0089
http,88.78.13.127,11457,89.22.96.128,80,6,S|SA|A|PA|A|PA|A|PA|A|PA|A|FA|A|FA|A,274,15,0.0777
http,66.249.78.36,49120,89.22.96.128,80,6,S|SA|A|PA|A|A|A|PA|A|A|A|FA|FA|A,349,14,0.0073
http,91.232.96.16,48307,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|FA|A,598,16,0.0043
http,89.245.115.7,2591,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|A|A|A|PA|A|A|A|A|A|PA|A|A|A|A|A|A|A|A|A|A|A|PA|PA|A|A|A|A|A|A|A|A|A|A|A|A|A|A|PA|PA|A|A|A|A|A|A|A|A|PA|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|PA|A|PA|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|PA|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|PA|A|A|PA|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|PA|A|A|PA|A|PA|A|PA|A|PA|PA|A|FA|A|FA|A,911,185,0.1463
http,66.249.78.36,61777,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|PA|A|A|A|FA|FA|A,347,16,0.008
http,89.22.96.128,55049,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|FA|FA|A,90,12,0.0048
http,91.232.96.13,49091,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|FA|A,526,18,0.0074
http,91.121.176.101,37256,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|PA|FPA|A|A|A|FA|A,626,18,0.0095
http,91.232.96.13,35927,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|FPA|A|A|A|FA|A,539,16,0.0042
http,91.232.96.13,42259,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|FPA|A|A|A|A|FA|A,554,20,0.0103
http,188.64.46.222,80,188.64.46.173,48926,6,SA|A|A|PA|FA|A,537,6,0.001
http,188.64.46.222,80,188.64.46.173,48839,6,SA|A|A|PA|FA|A,508,6,0.001
http,91.232.96.13,53357,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|A|FPA|A|A|A|A|A|FA|A,528,22,0.01
http,91.232.96.14,37421,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|FPA|A|A|A|FA|A|FA|A,523,21,0.0549
http,188.64.46.222,80,188.64.46.173,48837,6,SA|A|A|PA|FA|A,510,6,0.0011
http,91.232.96.14,57385,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|FPA|A|A|FA|A,643,17,0.0199
http,91.232.96.16,35930,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|FPA|A|A|A|A|PA|A|FPA|FA|A,679,23,0.045
http,89.22.96.128,36837,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|A|A|A|PA|PA|A|A|A|A|PA|A|A|A|A|PA|A|FA|FA|A,543,26,0.0056
http,91.232.96.15,37755,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|A|FPA|A|A|A|A|A|FA|A,560,22,0.0101
http,91.121.176.101,44383,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|FA|A,518,17,0.0045
http,91.232.96.16,44378,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|FPA|A|A|A|A|FA|A,725,19,0.0331
http,91.232.96.14,38199,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|PA|FPA|A|A|A|FA|A,620,18,0.0367
http,5.135.179.227,47473,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|FPA|A|A|A|FA|A,634,16,0.0046
http,89.22.96.128,33147,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|A|A|A|PA|PA|A|A|A|PA|A|PA|A|FA|FA|A,459,22,0.0047
